Date,Open,High,Low,Close
29-Sep-21,37601.1,37923.45,37371.05,37743
28-Sep-21,38360,38377.25,37315.2,37945
27-Sep-21,38054.75,38355.2,37968.2,38171.25
24-Sep-21,37954,38112.6,37680,37830.3
23-Sep-21,37241.25,37830.75,37216.15,37771.7
22-Sep-21,37277.1,37328.6,36885.6,36944.65
21-Sep-21,37238.4,37340.7,36525.95,37235.85
20-Sep-21,37388.2,37802.75,37068.45,37145.7
17-Sep-21,37929.5,38112.75,37396.05,37811.95
16-Sep-21,36946,37720.15,36907.75,37668.6
15-Sep-21,36543.55,36949.7,36496.05,36852.25
14-Sep-21,36639.95,36756,36529.65,36613.05
13-Sep-21,36608.45,36724.85,36327.05,36471.8
09-Sep-21,36725.5,36857.2,36566.7,36683.2
08-Sep-21,36519.7,36855.9,36393.6,36768.2
07-Sep-21,36558.85,36685.85,36151.95,36468.8
06-Sep-21,36878.25,36923.65,36554.45,36592.35
03-Sep-21,36883.65,37140,36563.2,36761.15
02-Sep-21,36588.4,36895.55,36469,36831.3
01-Sep-21,36591.45,36997.7,36487.15,36574.3
31-Aug-21,36367.4,36552.8,36216.2,36424.6
30-Aug-21,35781.05,36398.45,35721.9,36347.65
27-Aug-21,35559.75,35727.9,35359.25,35627.8
26-Aug-21,35485.95,35785.8,35411.8,35617.55
25-Aug-21,35768.85,35910.3,35499.65,35586.25
24-Aug-21,35200.75,35795.3,35070,35712.1
23-Aug-21,35424.2,35427.4,34817.5,35124.4
20-Aug-21,35146.5,35306.5,34926.5,35033.85
18-Aug-21,36222.5,36248.9,35432,35554.5
17-Aug-21,35935.05,35993.7,35611.85,35867.45
16-Aug-21,36100.65,36261.55,36032.4,36094.5
13-Aug-21,36000.75,36233.3,35937.1,36169.35
12-Aug-21,35825.4,35998.15,35702.9,35937.05
11-Aug-21,36218.25,36227.55,35531.35,35806.4
10-Aug-21,35954.55,36317,35890.5,36034.1
09-Aug-21,35824.2,36159.85,35612.3,36028.95
06-Aug-21,35875.8,36080.1,35700.45,35809.25
05-Aug-21,36093.95,36115.45,35661.3,35834.75
04-Aug-21,35388.15,36219.8,35313,36028.05
03-Aug-21,34660.75,35238.45,34649.2,35207.45
02-Aug-21,34760.9,34861.75,34588.25,34710
30-Jul-21,34698.75,34738.75,34445.4,34584.35
29-Jul-21,34740.3,34778.15,34495.2,34691.5
28-Jul-21,34839.45,34841.55,34115.2,34532.9
27-Jul-21,35029.3,35186.1,34713.55,34797.45
26-Jul-21,34947.85,35138.2,34669.55,34949.7
23-Jul-21,34748.35,35088,34404.75,35034.4
22-Jul-21,34774.55,34989.1,34557.85,34677.3
20-Jul-21,34791.15,34894.15,34357.35,34415.45
19-Jul-21,35070.5,35347.05,34899.2,35079.2
16-Jul-21,35977.95,35977.95,35674.75,35751.8
15-Jul-21,35757.45,35985.25,35625.7,35907.65
14-Jul-21,35585.85,35804.05,35434.75,35668.25
13-Jul-21,35480.05,35727.85,35340.7,35673.4
12-Jul-21,35285.05,35394.3,35060.35,35198.9
09-Jul-21,35163.75,35225.2,34859.9,35071.95
08-Jul-21,35603.25,35811,35134.65,35274.1
07-Jul-21,35550.6,35795.75,35427.65,35771.3
06-Jul-21,35173.6,35807.45,35165.55,35579.15
05-Jul-21,35010.95,35234.3,34926.4,35212
02-Jul-21,34728.1,34894.45,34632.6,34809.9
01-Jul-21,34866,34917.65,34650.95,34684
30-Jun-21,35001.9,35214.9,34730.45,34772.2
29-Jun-21,35320.45,35337.45,34913.7,35010.3
28-Jun-21,35488.2,35576.95,35236.45,35359.45
25-Jun-21,34916.65,35491.95,34915.85,35364.65
24-Jun-21,34687.7,34935.3,34592.35,34827
23-Jun-21,34911.85,34937.65,34525.45,34574
